con_C_rep1	con_C_rep2	con_C_rep3	con_E_rep1	con_E_rep2	con_E_rep3	con_S_rep1	con_S_rep2	con_S_rep3
YKL217W	-5.05420430862392	-4.71713843505805	-4.97089608990296	2.21407354141905	2.04385706270856	2.21208103841681	2.82351038083499	2.62532826602967	2.82338854417584
YGL134W	-0.919265843214585	-0.95303619245274	-0.802144994410637	0.450613170084902	0.557343923595793	0.446964666174583	0.449539074133773	0.338747138027893	0.431239058061019
YOL005C	0.195199907480638	-0.0332618449138877	0.171919521904178	-0.185355288424289	-0.245018689901911	-0.0501486508923916	-0.0277914871285487	0.118114391633256	0.0563421402429558
YBR193C	-0.155399728685572	0.0411268498163873	-0.568362081256185	0.208672805095536	0.0362676376328643	0.127821442461543	0.197667248654444	0.0316690780906166	0.0805367481903669
YDL204W	-2.69501910593138	-2.92345549645924	-2.95503950004217	1.49551079805427	1.02377091618982	1.5469358719956	1.47533061290996	1.3162275462971	1.71573835698605
YOL014W	2.03124589530378	1.73585596068435	1.66397097555867	-0.915855792635278	-0.643194858329355	-1.09056713270411	-0.528061537624989	-0.812695438496037	-1.44069807175703
YMR221C	0.567090747278077	0.539923251358452	0.477238636271984	-0.254651904583342	-0.314276559697708	-0.118672500195537	-0.239523629341869	-0.405642303864723	-0.251485737225332
YBL060W	0.0680528322915883	0.0619876699537381	0.0728013773855238	-0.129562412925782	-0.101262723577168	-0.0328508037541564	0.0410668150035347	-0.0486907966502645	0.0684580422729821
YCR054C	0.190502920159336	0.0240209184480964	-0.0259622042009706	0.0242972122907021	-0.178420025098924	-0.349619517605753	0.191452818202759	0.198367435685471	-0.0746395578807144
YKL220C	-0.246948457485647	-0.437046477277188	0.367072380360142	-0.182095934138592	-0.162347915212426	0.811527267914861	-0.0599142950063993	0.0619399934046916	-0.15218656255944
YGL027C	0.401157951170572	0.297189043644823	0.37165035216952	0.0702630355729497	0.220650171966628	-0.191555757467506	-0.447803078731732	-0.348354908143972	-0.373196810181283
YLR242C	-0.038373391326493	-0.00464314586746362	0.23261694864041	-0.138827610204368	-0.235166193450272	0.142922801570907	0.219952020390961	-0.508004294157377	0.3295228644037
YBR103W	-0.0187427041868835	-0.0710523637245153	-0.231425316200679	0.0698487278236817	0.191888535403988	0.0753270212964594	-0.124055881250529	0.080858045821941	0.0273539350165324
YLR344W	0.9953690170474	1.1120962165482	1.12292315213035	-1.20989589611919	-1.11552293453311	-1.26311411501868	0.0697766200988337	0.0996803287432027	0.188687611102992
YBL069W	0.6254233066735	0.582832098125651	0.533611825961883	-0.533526329994648	-0.658305637860657	-0.3998519001883	-0.333968384595314	0.3740433534231	-0.190258331545214
YBL040C	0.462635545218784	0.400958422184222	0.542077878210934	-0.204651663357903	-0.256243116963216	-0.36511994917208	-0.162144529148117	-0.317102945959299	-0.100409641013321
YLR203C	-0.405184698081657	-0.327963809517974	-0.519646483305105	0.579235807300461	0.660632407647523	0.571890739099961	-0.182574101840728	-0.28647093157402	-0.089918929728463
YEL047C	0.55430413621591	0.477244575431695	0.509359210255033	-0.376972309514042	-0.17296746731546	-0.523333896068366	-0.193393483676585	0.00491706442241835	-0.279157829750601
YOR136W	-0.196402294856773	-0.257636163948906	-0.127216166906685	1.11430679425071	1.2206779471245	1.10057674638265	-1.04264201043537	-0.913339317592925	-0.898325534017209
YDR156W	0.401718169011624	0.496091589322626	0.398738046248994	-0.637615309309584	-0.39815613342981	-0.275455726941114	-0.0142064625992537	0.0125749831908584	0.0163108445056572
YNR062C	-0.0252871409540174	0.478102235514632	-0.0349775239867243	0.0333333168782834	-0.359429874951721	-0.112579625747322	-0.386228434320445	0.0199660986436183	0.387100948923695
YEL041W	-1.63738042673801	-1.43848531816083	-1.58816340314341	-0.358191604119994	-0.677637389836997	-0.619277181548791	2.08972576612088	2.20642296021573	2.02298659721142
YHR077C	0.321298090607169	0.278583134826566	0.253267621226249	-0.442250875735049	-0.459947402287394	-0.443754107880686	0.301761430334496	0.0242437527983075	0.166798356110342
YCR018C	-0.113428462380724	-0.460489026673647	-0.348290917399165	-1.69622468493576	-2.12504140834318	-1.19466526752925	1.9434127137786	1.9338685328312	2.06085852065192
YDR083W	0.71724119626498	0.777375387715126	0.941004446018564	-0.838373439641319	-0.647487028332694	-1.02904984908744	0.00375785917194982	0.356497267379986	-0.280965839489147
YOL060C	-0.583034760002024	-0.449859322802338	-0.546456970253194	0.490199297414705	0.432738397257307	0.450494156141342	-0.00872084736076495	0.117619210997411	0.0970208386075502
YIL120W	-0.542342328778599	-0.441375569636026	-0.632875522359887	0.296400517328948	0.214656406811943	0.372552992114116	0.247864698915731	0.285669916383742	0.199448889220031
YGR045C	-0.201344411337024	-0.468612047070707	-0.167145953913017	0.452005944588802	1.19037247050405	0.0435111178730967	0.116161104785961	-0.168472796085086	-0.796475429346078
YFL017W-A	0.11231699906987	-0.0496413082486669	-0.218736247477521	0.368703296974902	0.384545949418702	0.248582078571407	-0.342428518070373	-0.220574229659282	-0.282768020579037
YHR083W	-0.0181735395054172	-0.0677763760707588	-0.0308796373990896	0.363952066067327	0.335912903500314	0.402270284913767	-0.38695711433222	-0.347409885228703	-0.250938701945222
YDR420W	-0.0773860978590086	0.0309698101299958	-0.0312058311962664	-0.351460391825355	-0.119112426878764	-0.225060871456179	0.186016184100173	0.377087944060108	0.210151680925299
YIL022W	-0.0794338429481645	0.0856492704168144	-0.160058107060962	0.240355612104116	0.431649378970848	0.263587521223586	-0.353687751663051	-0.192386393601879	-0.235675687441315
