clusters	colors
XM_010053707.3	1	#00FF66
XM_039316445.1	1	#00FF66
XM_010042913.3	1	#00FF66
XM_018871763.2	2	#00FFCF
XM_039301474.1	2	#00FFCF
XM_010039977.3	1	#00FF66
XM_010035731.3	3	#00C6FF
XM_010027640.3	2	#00FFCF
XM_010048651.3	2	#00FFCF
XM_010057977.3	1	#00FF66
XM_039312640.1	1	#00FF66
XR_005547602.1	3	#00C6FF
XR_005548850.1	4	#005CFF
XM_039301027.1	1	#00FF66
XM_010057076.3	2	#00FFCF
XM_010064157.3	2	#00FFCF
XM_010025777.3	2	#00FFCF
XM_010057681.3	1	#00FF66
XM_018867703.2	2	#00FFCF
XM_039315958.1	1	#00FF66
XM_010055229.3	2	#00FFCF
XM_010038894.3	1	#00FF66
XM_010026736.3	2	#00FFCF
XM_010037653.3	2	#00FFCF
XM_010056862.3	1	#00FF66
XM_010067705.3	1	#00FF66
XM_039300958.1	2	#00FFCF
XM_010063519.3	1	#00FF66
XM_010030080.3	1	#00FF66
XM_010032644.3	1	#00FF66
XM_010025549.3	1	#00FF66
XM_039300403.1	1	#00FF66
XM_010036907.3	1	#00FF66
XM_010033755.3	2	#00FFCF
XM_010035496.3	7	#DF00FF
XM_010035356.3	2	#00FFCF
XM_010065244.3	4	#005CFF
XM_039315926.1	1	#00FF66
XR_005548201.1	1	#00FF66
XM_039301357.1	1	#00FF66
XM_039311080.1	4	#005CFF
XM_039308159.1	1	#00FF66
XM_039310135.1	1	#00FF66
XM_039316065.1	1	#00FF66
XM_010031289.3	2	#00FFCF
XM_010068564.3	2	#00FFCF
XR_005550688.1	3	#00C6FF
XM_039306541.1	1	#00FF66
XM_039305950.1	1	#00FF66
XM_010037264.3	2	#00FFCF
XM_018862969.2	1	#00FF66
XM_010064212.3	1	#00FF66
XM_010062750.3	1	#00FF66
XM_010053778.3	2	#00FFCF
XM_010049500.3	1	#00FF66
XM_039301750.1	1	#00FF66
XM_010033475.3	1	#00FF66
XM_039303821.1	2	#00FFCF
XM_010061532.3	2	#00FFCF
XR_005547623.1	1	#00FF66
XM_010025163.3	1	#00FF66
XM_039314072.1	1	#00FF66
XM_010036918.3	3	#00C6FF
XM_010049887.3	3	#00C6FF
XM_039307528.1	7	#DF00FF
XM_039299067.1	3	#00C6FF
XM_018865398.2	4	#005CFF
XM_010029259.3	3	#00C6FF
XM_010033462.3	2	#00FFCF
XM_010050677.3	1	#00FF66
XR_005552055.1	2	#00FFCF
XM_039305541.1	1	#00FF66
XM_010070770.2	1	#00FF66
XM_010057079.3	4	#005CFF
XM_039303435.1	7	#DF00FF
XR_005550694.1	3	#00C6FF
XM_018862704.2	1	#00FF66
XM_010068447.3	2	#00FFCF
XM_039308707.1	1	#00FF66
XM_010058175.3	1	#00FF66
XM_010063516.3	2	#00FFCF
XM_010042607.2	3	#00C6FF
XM_010069404.3	2	#00FFCF
XM_039304609.1	1	#00FF66
XM_010057978.3	1	#00FF66
XM_010029879.3	2	#00FFCF
XR_005552850.1	3	#00C6FF
XM_010070826.3	1	#00FF66
XM_010046158.3	2	#00FFCF
XM_039313168.1	1	#00FF66
XM_010063237.3	1	#00FF66
XM_039310506.1	1	#00FF66
XM_010054825.3	3	#00C6FF
XM_010050493.3	1	#00FF66
XR_005553283.1	1	#00FF66
XM_010058165.3	2	#00FFCF
XM_010030678.3	1	#00FF66
XM_010046856.3	1	#00FF66
XM_010043379.3	3	#00C6FF
XM_010038374.3	2	#00FFCF
XR_005550426.1	1	#00FF66
XM_010057061.3	1	#00FF66
XM_010054204.3	2	#00FFCF
XM_039308225.1	2	#00FFCF
XM_010031044.3	7	#DF00FF
XM_010035282.3	1	#00FF66
XM_039301232.1	2	#00FFCF
XM_039315487.1	4	#005CFF
XM_010069234.3	1	#00FF66
XM_018870728.2	2	#00FFCF
XM_010057345.3	4	#005CFF
XM_018864865.2	3	#00C6FF
XM_010065733.3	2	#00FFCF
XR_005550723.1	3	#00C6FF
XM_010046432.3	1	#00FF66
XM_010064849.3	3	#00C6FF
XM_010038390.3	1	#00FF66
XM_010037986.3	1	#00FF66
XM_010045685.3	3	#00C6FF
XM_039308776.1	1	#00FF66
XM_010063123.2	1	#00FF66
XM_010053098.2	3	#00C6FF
XM_010031005.3	2	#00FFCF
XM_010030946.3	2	#00FFCF
XM_018865492.2	4	#005CFF
XM_010027378.3	1	#00FF66
XR_005550715.1	3	#00C6FF
XM_010038546.3	1	#00FF66
XM_010046579.3	2	#00FFCF
XM_010068052.3	2	#00FFCF
XR_005547804.1	1	#00FF66
XR_005547734.1	1	#00FF66
XM_039315345.1	1	#00FF66
XM_010053882.3	2	#00FFCF
XM_039302285.1	3	#00C6FF
XM_010048419.2	4	#005CFF
XM_010057303.3	1	#00FF66
XM_010064099.3	1	#00FF66
XM_010069343.3	2	#00FFCF
XM_010064465.3	3	#00C6FF
XM_039316908.1	3	#00C6FF
XM_039308772.1	1	#00FF66
XM_010054611.3	2	#00FFCF
XM_039311735.1	2	#00FFCF
XR_726803.3	2	#00FFCF
XM_010033597.3	1	#00FF66
XM_010058743.3	1	#00FF66
XM_010059783.3	3	#00C6FF
XM_039316971.1	1	#00FF66
XM_010057399.3	3	#00C6FF
XM_018874279.2	3	#00C6FF
XM_010027088.3	7	#DF00FF
XM_018870688.2	7	#DF00FF
XM_010070973.3	2	#00FFCF
XM_010029232.3	3	#00C6FF
XM_010028487.3	5	#0D00FF
XR_005546083.1	1	#00FF66
XM_010041343.3	1	#00FF66
XM_018872049.2	1	#00FF66
XM_039307934.1	4	#005CFF
XM_010058663.3	1	#00FF66
XM_010054221.3	1	#00FF66
XM_039307863.1	1	#00FF66
XR_005552219.1	1	#00FF66
XM_039314074.1	1	#00FF66
XM_010050907.3	2	#00FFCF
XM_018865183.2	1	#00FF66
XM_010059656.3	1	#00FF66
XM_039307427.1	2	#00FFCF
XR_005546855.1	2	#00FFCF
XR_005546502.1	1	#00FF66
XM_039298772.1	1	#00FF66
XM_010048123.3	1	#00FF66
XM_039318265.1	1	#00FF66
XR_005548927.1	1	#00FF66
XM_039303545.1	2	#00FFCF
XM_010032667.3	2	#00FFCF
XM_039311736.1	4	#005CFF
XM_010057761.3	1	#00FF66
XM_018870733.2	2	#00FFCF
XM_010048694.3	3	#00C6FF
XM_010033461.3	1	#00FF66
XR_005550704.1	3	#00C6FF
XM_039315588.1	3	#00C6FF
XR_005545954.1	2	#00FFCF
XM_010039491.3	1	#00FF66
XM_010045835.3	2	#00FFCF
XM_010031234.3	2	#00FFCF
XM_010056991.3	2	#00FFCF
XM_010070743.3	3	#00C6FF
XM_018874721.2	3	#00C6FF
XR_721346.3	1	#00FF66
XM_039315875.1	1	#00FF66
XM_010067493.3	4	#005CFF
XM_039311307.1	1	#00FF66
XM_010049239.3	3	#00C6FF
XM_010042254.3	7	#DF00FF
XM_010033002.3	1	#00FF66
XM_039305544.1	2	#00FFCF
XM_039310487.1	1	#00FF66
XM_018869249.2	1	#00FF66
XM_039311489.1	1	#00FF66
XM_010048678.3	7	#DF00FF
XR_005552253.1	3	#00C6FF
XM_010058052.3	2	#00FFCF
XM_039303571.1	3	#00C6FF
XM_010049352.3	1	#00FF66
XM_018868351.2	2	#00FFCF
XM_039301987.1	1	#00FF66
XM_010054963.3	3	#00C6FF
XM_010030388.3	2	#00FFCF
XM_010069084.3	1	#00FF66
XM_039315482.1	1	#00FF66
XM_010063317.3	4	#005CFF
XM_039307205.1	2	#00FFCF
XM_010064910.3	7	#DF00FF
XM_010034631.3	1	#00FF66
XM_039305908.1	1	#00FF66
XM_039302794.1	1	#00FF66
XM_010049928.3	1	#00FF66
XM_039310859.1	1	#00FF66
XM_010063097.3	4	#005CFF
XM_010039636.3	1	#00FF66
XM_010060483.3	2	#00FFCF
XM_039315804.1	4	#005CFF
XM_010027227.3	1	#00FF66
XM_010071465.3	3	#00C6FF
XM_018861488.2	1	#00FF66
XM_018876946.2	4	#005CFF
XM_010071636.3	2	#00FFCF
