C_1	C_2	C_3	T_1	T_2	T_3
XM_010059782.3	-1.92913687028322	-1.92913687028322	-1.92913687028322	1.85599514503276	1.97361206031455	1.95780340550236
XM_010035641.3	-1.91729098152888	-1.91729098152888	-1.91729098152888	1.67151358548667	1.87191659381846	2.20844276528151
XM_039315067.1	-1.95720738618702	-1.95720738618702	-1.95720738618702	2.06932712202409	1.92651117035416	1.8757838661828
XM_010059625.3	-1.25363976677315	-1.25363976677315	-1.042004513446	1.20500471260252	1.12985717738221	1.21442215700758
XM_010063935.3	-1.11767772269634	-1.11767772269634	-1.11767772269634	1.32910783944678	0.643607550665279	1.38031777797696
XR_005548112.1	-0.925763719795226	-0.925763719795226	-0.925763719795226	0.577076038460706	1.0535299906505	1.14668513027447
XR_005550606.1	-0.670006158599952	-0.670006158599952	-0.670006158599952	0.548465052143309	0.6559558375719	0.805597586084647
XM_039313146.1	-0.817162439304802	-0.817162439304802	-0.817162439304802	0.167609173080623	1.49317768130735	0.790700463526433
XM_010063082.3	-0.89518677569722	-0.89518677569722	-0.89518677569722	0.34482218903785	1.16347606368134	1.17726207437247
XM_039317123.1	-1.01985186402871	-1.01985186402871	-1.01985186402871	1.04330589463161	0.524633522207377	1.49161617524715
XM_010025577.3	-1.88450312957337	-1.88450312957337	-1.88450312957337	1.7598146487642	1.9139621911317	1.97973254882422
XM_010066931.3	-1.65254371622952	-1.65254371622952	-1.65254371622952	1.68502466903473	1.95117163547367	1.32143484418015
XM_039312241.1	1.14091624426872	0.980738226474678	1.07195266455885	-1.02732727444169	-1.13300573634047	-1.03327412452009
XM_039303286.1	-1.73366891589714	-1.16507938491018	-1.05555787570764	1.41591356743247	1.2967044613713	1.24168814771118
XM_010063521.3	-0.479056572306921	-1.73304583853771	-1.73304583853771	1.45472190850832	1.08580472235773	1.40462161851629
XM_010037984.3	-1.35551349850629	-1.35551349850629	-1.35551349850629	1.83367850745736	1.30326923550654	0.929592752554965
XM_039300765.1	-1.2458142181644	-1.2458142181644	-1.2458142181644	1.29446108600146	0.87917555181426	1.56380601667749
XM_010034922.3	-0.881800412385352	-0.881800412385352	-0.881800412385352	0.870091726018957	0.974986133902729	0.800323377234369
