clusters	colors
YKL107W	5	#00A8FF
YOL086C	3	#00FFDE
YNL144C	1	#00FF66
YER175C	1	#00FF66
YBL027W	2	#00FFA2
YPL187W	14	#FF0089
YIL162W	1	#00FF66
YMR169C	1	#00FF66
YPR124W	1	#00FF66
YMR195W	11	#C100FF
YMR058W	11	#C100FF
YBR048W	2	#00FFA2
YLR205C	1	#00FF66
YMR175W	6	#006BFF
YBR053C	1	#00FF66
YDR050C	3	#00FFDE
YHR174W	10	#8500FF
YEL065W	13	#FF00C5
YLR284C	1	#00FF66
YBR238C	2	#00FFA2
YLL056C	1	#00FF66
YJL148W	2	#00FFA2
YGR110W	1	#00FF66
YCR018C	14	#FF0089
YEL026W	3	#00FFDE
YGR250C	1	#00FF66
YJL216C	14	#FF0089
YPL079W	2	#00FFA2
YIL146C	1	#00FF66
YOL047C	1	#00FF66
YKR034W	14	#FF0089
YGL045W	1	#00FF66
YHR096C	4	#00E4FF
YGR264C	2	#00FFA2
YDR070C	6	#006BFF
YPR192W	1	#00FF66
YBR026C	1	#00FF66
YBR196C	3	#00FFDE
YKR080W	2	#00FFA2
YDL130W-A	1	#00FF66
YPL012W	2	#00FFA2
YPL222W	1	#00FF66
YKR067W	1	#00FF66
YLR222C	2	#00FFA2
YOR142W-A	7	#002FFF
YJR063W	3	#00FFDE
YDL191W	2	#00FFA2
YNL332W	1	#00FF66
YGL007W	1	#00FF66
YPL171C	4	#00E4FF
YPL135W	1	#00FF66
YIR029W	1	#00FF66
YGR088W	1	#00FF66
YLR297W	1	#00FF66
YBL075C	5	#00A8FF
YBR169C	1	#00FF66
YJL089W	1	#00FF66
YDL229W	2	#00FFA2
YPR023C	1	#00FF66
YML120C	1	#00FF66
YOR220W	1	#00FF66
YGL062W	1	#00FF66
YMR280C	1	#00FF66
YNL318C	8	#0D00FF
YML056C	3	#00FFDE
YKL209C	2	#00FFA2
YDL014W	2	#00FFA2
YGR287C	1	#00FF66
YHR001W-A	1	#00FF66
YHR051W	1	#00FF66
YMR118C	8	#0D00FF
YOL155C	8	#0D00FF
YML026C	3	#00FFDE
YIL037C	8	#0D00FF
YBR126C	1	#00FF66
YPL004C	1	#00FF66
YML063W	2	#00FFA2
YNL125C	1	#00FF66
YMR250W	1	#00FF66
YJL221C	1	#00FF66
YBR296C	1	#00FF66
YNL112W	3	#00FFDE
YKR076W	4	#00E4FF
YIL024C	1	#00FF66
YLR151C	8	#0D00FF
YOR344C	3	#00FFDE
YJL200C	2	#00FFA2
YIL055C	1	#00FF66
YFL055W	1	#00FF66
YPL027W	1	#00FF66
YDR365C	3	#00FFDE
YGL234W	2	#00FFA2
YBR299W	4	#00E4FF
